job_name,submit_time,duration,region,k,L_max,submit_local_hour,band,alpha,assigned_region
j_127765,11080.8,11.8,Japan,5,1.5,12.08,day,1.0,US_West
j_018259,11158.2,5476.6,US_Central,1,69745.1,21.1,night,1.0,France
j_127792,12002.2,3.4,Japan,5,3.9,12.33,day,1.0,US_West
j_036522,12648.4,58.8,US_East,4,22.2,22.51,night,1.0,US_West
j_054779,12763.2,5161.2,France,1,60022.0,4.55,night,1.0,France
j_109502,12820.0,255.9,India,3,577.7,9.06,day,1.0,US_West
j_054788,12868.6,4127.5,France,1,66372.9,4.57,night,1.0,US_West
j_127796,14030.8,6.1,Japan,4,36.9,12.9,day,1.0,France
j_109505,14037.4,2497.0,India,1,78755.9,9.4,day,1.0,France
j_018268,14190.1,3316.7,US_Central,2,19208.9,21.94,night,1.0,France
j_127795,14208.2,3.3,Japan,5,2.0,12.95,day,1.0,US_West
j_036548,14588.6,9475.0,US_East,1,47074.3,23.05,night,1.0,France
j_109509,14877.2,2529.9,India,1,82876.9,9.63,day,1.0,France
j_073001,15199.7,4.4,Germany,4,37.3,5.22,night,1.0,France
j_036514,15215.9,5.2,US_East,5,2.9,23.23,night,1.0,US_West
j_091260,15371.0,5.2,Korea,5,1.6,13.27,day,1.0,France
j_054790,15970.8,5453.6,France,1,49922.9,5.44,night,1.0,France
j_054795,16126.1,1558.8,France,1,58602.3,5.48,night,1.0,US_West
j_109504,16228.1,3747.7,India,1,46024.7,10.01,day,1.0,US_East
j_091285,16298.0,6.2,Korea,5,1.6,13.53,day,1.0,US_West
j_036528,16367.2,2588.0,US_East,1,56442.9,23.55,night,1.0,US_West
j_073002,16562.9,4796.6,Germany,1,64015.9,5.6,night,1.0,US_West
j_036501,17149.1,2810.1,US_East,1,62622.9,23.76,night,1.0,US_West
j_127791,17239.3,4.5,Japan,5,4.9,13.79,day,1.0,US_West
j_073008,17287.1,3760.2,Germany,1,58535.7,5.8,night,1.0,US_East
j_036549,17297.2,3.5,US_East,5,2.8,23.8,night,1.0,US_West
j_000012,17825.0,1331.6,US_West,2,17356.9,20.95,night,1.0,US_West
j_127771,17924.8,27.9,Japan,5,1.9,13.98,day,1.0,US_East
j_127755,18320.7,2746.9,Japan,2,22241.6,14.09,day,1.0,France
j_109512,18438.1,4.9,India,5,3.9,10.62,day,1.0,France
j_073015,18578.7,2005.4,Germany,1,55191.2,6.16,night,1.0,France
j_127781,18881.7,427.3,Japan,3,198.3,14.24,day,1.0,France
j_109534,19202.7,18.0,India,4,15.4,10.83,day,1.0,France
j_109544,19203.9,271.9,India,3,489.8,10.83,day,1.0,US_West
j_018276,19508.7,4.7,US_Central,5,2.7,23.42,night,1.0,France
j_091279,19631.8,3.4,Korea,5,2.6,14.45,day,1.0,US_West
j_000019,20371.2,547.4,US_West,2,27318.2,21.66,night,1.0,France
j_073030,20437.2,28.5,Germany,4,31.4,6.68,night,1.0,US_West
j_036505,20599.4,55.4,US_East,4,31.0,0.72,night,1.0,US_West
j_127799,20833.9,10987.4,Japan,1,59356.6,14.79,day,1.0,US_West
j_127783,21439.3,29.4,Japan,4,43.9,14.96,day,1.0,France
j_091295,21687.1,367.6,Korea,3,347.1,15.02,day,1.0,France
j_073019,21818.0,3827.8,Germany,1,46030.9,7.06,night,1.0,France
j_109542,22027.4,8.5,India,5,1.5,11.62,day,1.0,France
j_109514,22354.8,335.6,India,3,367.3,11.71,day,1.0,France
j_109540,22410.4,8.6,India,5,1.4,11.73,day,1.0,US_West
j_091271,22432.7,37.3,Korea,4,15.5,15.23,day,1.0,France
j_091290,22495.1,14.6,Korea,5,2.2,15.25,day,1.0,US_West
j_054776,22496.0,4874.9,France,2,8440.1,7.25,night,1.0,US_West
j_109506,22701.2,47.0,India,4,24.0,11.81,day,1.0,France
j_109536,23714.6,6.5,India,5,1.3,12.09,day,1.0,France
j_036500,23762.7,3172.4,US_East,1,51236.8,1.6,night,1.0,US_West
j_036529,24200.6,17498.8,US_East,1,52158.7,1.72,night,1.0,France
j_000032,24345.2,2.8,US_West,5,2.4,22.76,night,1.0,France
j_091269,24672.4,393.2,Korea,3,168.3,15.85,day,1.0,France
j_091253,24696.8,6.8,Korea,5,3.8,15.86,day,1.0,US_West
j_109527,25425.1,4.9,India,5,3.7,12.56,day,1.0,France
j_127787,25445.9,76.9,Japan,4,35.4,16.07,day,1.0,France
j_109532,25783.2,22.1,India,4,25.5,12.66,day,1.0,France
j_109510,26255.1,54.5,India,3,233.4,12.79,day,1.0,US_West
j_054772,26567.8,60.9,France,4,28.9,8.38,day,1.0,France
j_127790,26744.8,3.6,Japan,5,1.2,16.43,day,1.0,France
j_000046,26785.0,4169.3,US_West,1,59728.2,23.44,night,1.0,France
j_054784,27225.8,7.7,France,5,4.2,8.56,day,1.0,US_West
j_054786,27301.7,10.0,France,4,54.8,8.58,day,1.0,US_West
j_091263,27414.3,8132.3,Korea,1,63221.4,16.62,day,1.0,France
j_054798,27417.1,190.1,France,4,35.9,8.62,day,1.0,US_West
j_109515,27425.1,65.3,India,3,194.2,13.12,day,1.0,US_West
j_036511,27505.7,3489.6,US_East,1,73802.1,2.64,night,1.0,France
j_018281,27787.4,2129.8,US_Central,2,7479.2,1.72,night,1.0,US_West
j_127798,28017.3,7.5,Japan,5,2.1,16.78,day,1.0,France
j_036542,28158.7,2884.6,US_East,1,78119.8,2.82,night,1.0,US_West
j_109523,28585.4,32.4,India,4,19.0,13.44,day,1.0,US_West
j_109521,28843.6,53.7,India,3,392.6,13.51,day,1.0,France
j_018292,28944.7,535.9,US_Central,2,25818.9,2.04,night,1.0,France
j_054781,29060.1,13.1,France,5,2.6,9.07,day,1.0,France
j_000011,29100.1,4215.5,US_West,1,46769.3,0.08,night,1.0,US_West
j_127760,29197.0,4.0,Japan,5,1.6,17.11,day,1.0,France
j_073005,29498.3,2.6,Germany,5,1.9,9.19,day,1.0,France
j_109535,29543.4,2.2,India,5,1.3,13.71,day,1.0,France
j_109500,29570.1,17.9,India,4,16.6,13.71,day,1.0,US_West
j_018286,29822.9,21600.0,US_Central,1,55976.5,2.28,night,1.0,US_West
j_109503,30070.4,36.7,India,4,17.7,13.85,day,1.0,France
j_073032,31231.3,11.1,Germany,5,3.4,9.68,day,1.0,US_West
j_000043,31575.4,4.1,US_West,5,2.2,0.77,night,1.0,US_West
j_054766,31770.6,4.4,France,5,4.9,9.83,day,1.0,France
j_018255,31813.9,5382.4,US_Central,1,71509.7,2.84,night,1.0,US_West
j_036546,31859.8,2949.8,US_East,1,55949.3,3.85,night,1.0,US_West
j_000020,31915.8,17386.7,US_West,1,74115.9,0.87,night,1.0,US_West
j_073044,32333.7,3.4,Germany,5,3.9,9.98,day,1.0,US_West
j_109547,32691.2,12.5,India,4,21.6,14.58,day,1.0,France
j_073000,32801.3,17208.2,Germany,1,68875.5,10.11,day,1.0,France
j_109522,33032.3,1.8,India,5,1.1,14.68,day,1.0,France
j_036517,33037.1,8754.0,US_East,1,61564.6,4.18,night,1.0,US_West
j_018295,33487.4,12889.4,US_Central,1,74043.6,3.3,night,1.0,France
j_000021,33781.3,2296.5,US_West,1,80759.6,1.38,night,1.0,France
j_109538,34173.3,21600.0,India,1,76354.9,14.99,day,1.0,France
j_000040,34234.8,7317.1,US_West,1,50654.4,1.51,night,1.0,US_West
j_091268,34243.9,16.1,Korea,4,20.2,18.51,day,1.0,US_West
j_000017,34353.1,3.8,US_West,5,2.2,1.54,night,1.0,France
j_091255,34437.1,2721.9,Korea,1,55834.6,18.57,day,1.0,US_West
j_018283,34648.4,2150.9,US_Central,1,46828.3,3.62,night,1.0,US_West
j_018271,34688.9,2012.4,US_Central,2,8998.2,3.64,night,1.0,France
j_073043,35111.3,3.0,Germany,5,1.8,10.75,day,1.0,France
j_000027,35235.5,6.0,US_West,5,1.1,1.79,night,1.0,France
j_109513,35299.6,902.2,India,1,66660.5,15.31,day,1.0,US_West
j_036537,35509.7,1839.2,US_East,1,76968.4,4.86,night,1.0,US_West
j_054799,36087.9,6017.8,France,1,48379.9,11.02,day,1.0,France
j_091256,36284.8,38.2,Korea,3,278.0,19.08,day,1.0,France
j_109548,36428.7,83.1,India,4,34.8,15.62,day,1.0,France
j_109531,36504.5,6.4,India,5,2.5,15.64,day,1.0,US_East
j_073033,36599.9,29.9,Germany,4,19.4,11.17,day,1.0,France
j_073023,36807.4,41.1,Germany,4,39.8,11.22,day,1.0,France
j_018299,37718.7,2.1,US_Central,5,2.1,4.48,night,1.0,France
j_054771,37801.7,5.1,France,5,1.9,11.5,day,1.0,US_West
j_036539,38281.6,6069.2,US_East,1,51586.7,5.63,night,1.0,US_East
j_000009,38361.8,11830.5,US_West,1,47594.1,2.66,night,1.0,US_West
j_073017,38875.3,6797.2,Germany,1,75669.6,11.8,day,1.0,US_East
j_000031,39031.4,8836.8,US_West,2,20898.0,2.84,night,1.0,US_West
j_000026,39501.8,2.2,US_West,5,2.6,2.97,night,1.0,US_East
j_036513,39714.2,21.2,US_East,4,48.1,6.03,night,1.0,US_West
j_091286,39781.8,129.7,Korea,3,512.2,20.05,night,1.0,US_West
j_109543,39962.6,46.5,India,4,18.6,16.6,day,1.0,US_East
j_109533,39968.4,19.9,India,4,21.9,16.6,day,1.0,US_West
j_073040,39994.7,29.6,Germany,4,39.5,12.11,day,1.0,US_East
j_109539,40106.1,78.5,India,4,30.6,16.64,day,1.0,US_West
j_054774,40279.3,7116.4,France,1,44986.8,12.19,day,1.0,US_East
j_073025,40306.0,27.3,Germany,4,39.8,12.2,day,1.0,US_East
j_127751,40316.3,9.8,Japan,5,2.0,20.2,night,1.0,France
j_018282,40445.3,3.6,US_Central,5,2.6,5.23,night,1.0,France
j_018256,40449.8,2983.0,US_Central,1,56895.6,5.24,night,1.0,France
j_036515,40512.0,8494.6,US_East,2,16401.4,6.25,night,1.0,France
j_036526,40609.9,3976.0,US_East,1,70200.2,6.28,night,1.0,France
j_000037,40630.6,7170.4,US_West,2,10359.8,3.29,night,1.0,US_West
j_073006,40643.0,10.1,Germany,5,3.1,12.29,day,1.0,US_East
j_054791,40898.6,20.3,France,4,31.7,12.36,day,1.0,France
j_000016,40933.2,992.1,US_West,2,7430.3,3.37,night,1.0,US_East
j_018269,41516.8,4.1,US_Central,5,4.6,5.53,night,1.0,US_West
j_073031,41835.0,23.7,Germany,4,15.7,12.62,day,1.0,US_East
j_000002,42215.0,66.0,US_West,4,27.7,3.73,night,1.0,US_East
j_054755,42271.6,14.2,France,4,19.5,12.74,day,1.0,US_East
j_036510,42281.9,336.9,US_East,3,152.9,6.74,night,1.0,US_East
j_054768,42633.3,11.5,France,4,44.2,12.84,day,1.0,France
j_073004,43498.9,5.5,Germany,5,2.3,13.08,day,1.0,US_West
j_036545,43935.5,6.9,US_East,5,1.3,7.2,night,1.0,France
j_073036,43977.1,4.6,Germany,5,1.1,13.22,day,1.0,US_West
j_054789,43990.2,7.7,France,5,2.0,13.22,day,1.0,US_West
j_000000,44104.9,12590.1,US_West,1,46114.1,4.25,night,1.0,France
j_000008,44651.5,43.9,US_West,4,47.6,4.4,night,1.0,France
j_036536,44916.9,7775.9,US_East,1,68256.2,7.48,night,1.0,US_West
j_127786,44943.9,2131.0,Japan,1,79360.2,21.48,night,1.0,France
j_091275,45068.8,4.4,Korea,5,1.5,21.52,night,1.0,France
j_073018,45114.1,2.3,Germany,5,3.8,13.53,day,1.0,US_East
j_054760,45147.1,1348.4,France,1,62295.4,13.54,day,1.0,US_West
j_000042,45305.6,2.3,US_West,5,1.2,4.58,night,1.0,US_East
j_073047,45482.9,3.4,Germany,5,3.6,13.63,day,1.0,US_East
j_036506,45808.2,36.7,US_East,4,30.7,7.72,night,1.0,France
j_073048,45980.7,3608.9,Germany,1,53527.8,13.77,day,1.0,US_West
j_073024,46515.0,6.1,Germany,5,4.1,13.92,day,1.0,US_West
j_018273,47076.0,6.5,US_Central,5,1.3,7.08,night,1.0,France
j_091292,47570.9,2714.2,Korea,1,75026.8,22.21,night,1.0,US_East
j_073016,47652.9,10.6,Germany,5,3.2,14.24,day,1.0,US_East
j_127753,48160.6,3.6,Japan,5,2.5,22.38,night,1.0,US_East
j_073013,48894.3,12.5,Germany,4,15.2,14.58,day,1.0,US_East
j_073009,48996.0,2029.5,Germany,2,20134.5,14.61,day,1.0,France
j_000047,49023.2,2801.7,US_West,1,75049.8,5.62,night,1.0,France
j_127750,49097.7,127.7,Japan,3,165.8,22.64,night,1.0,US_West
j_073021,49119.1,3.8,Germany,5,3.8,14.64,day,1.0,US_East
j_109525,49138.3,68.0,India,4,16.7,19.15,day,1.0,France
j_073020,49140.8,5.6,Germany,5,2.3,14.65,day,1.0,France
j_000004,49203.4,4698.9,US_West,1,74097.0,5.67,night,1.0,US_West
j_036502,49295.0,10.6,US_East,5,2.0,8.69,day,1.0,US_West
j_000033,49316.5,15.9,US_West,4,56.2,5.7,night,1.0,US_West
j_036527,49329.9,4.7,US_East,5,4.7,8.7,day,1.0,US_West
j_109549,49567.9,8127.8,India,1,46820.0,19.27,day,1.0,France
j_054751,50200.7,14.4,France,4,33.4,14.94,day,1.0,France
j_054773,50247.9,29.3,France,4,47.9,14.96,day,1.0,US_East
j_127752,51407.9,17.8,Japan,4,56.5,23.28,night,1.0,US_West
j_054754,51807.3,11.5,France,5,2.2,15.39,day,1.0,US_West
j_036504,51831.7,1116.2,US_East,1,54902.2,9.4,day,1.0,France
j_091264,52423.1,18831.1,Korea,1,66748.4,23.56,night,1.0,US_West
j_054763,52563.1,90.8,France,4,19.7,15.6,day,1.0,France
j_018266,52741.3,3.0,US_Central,5,2.2,8.65,day,1.0,US_West
j_091266,53021.6,2.6,Korea,5,1.9,23.73,night,1.0,France
j_036503,53099.8,219.2,US_East,3,473.8,9.75,day,1.0,France
j_091293,53373.8,4646.6,Korea,2,21946.6,23.83,night,1.0,US_West
j_127766,53434.4,10146.8,Japan,1,75855.7,23.84,night,1.0,France
j_054759,53480.9,7.6,France,5,2.7,15.86,day,1.0,France
j_127769,53562.7,4536.3,Japan,1,51175.7,23.88,night,1.0,France
j_091274,53594.8,257.7,Korea,3,242.8,23.89,night,1.0,US_West
j_000038,53830.0,21600.0,US_West,1,48042.6,6.95,night,1.0,US_West
j_036509,54071.6,13.8,US_East,5,4.4,10.02,day,1.0,France
j_091257,54079.9,7926.2,Korea,1,69940.2,0.02,night,1.0,US_West
j_073049,54081.6,46.3,Germany,4,18.2,16.02,day,1.0,France
j_054796,54329.5,108.0,France,3,310.0,16.09,day,1.0,US_West
j_109546,54624.8,345.8,India,3,529.7,20.67,night,1.0,US_West
j_073010,55332.3,1459.1,Germany,1,85714.3,16.37,day,1.0,France
j_109541,55503.5,89.5,India,3,298.3,20.92,night,1.0,US_West
j_073041,55645.6,8809.7,Germany,1,51174.5,16.46,day,1.0,US_West
j_018250,55989.1,7.7,US_Central,5,2.5,9.55,day,1.0,France
j_073035,56322.0,2943.2,Germany,1,68028.7,16.64,day,1.0,US_West
j_018252,56330.3,16.4,US_Central,4,36.4,9.65,day,1.0,US_West
j_073046,56853.5,20.1,Germany,4,44.8,16.79,day,1.0,France
j_073014,56932.5,79.2,Germany,3,563.9,16.81,day,1.0,France
j_091272,57309.3,17.4,Korea,4,29.3,0.92,night,1.0,France
j_054780,57404.6,92.3,France,4,26.0,16.95,day,1.0,US_West
j_036541,58186.1,5.9,US_East,4,30.0,11.16,day,1.0,France
j_018272,58252.0,8938.7,US_Central,1,49835.4,10.18,day,1.0,France
j_073037,58654.7,7.9,Germany,4,32.7,17.29,day,1.0,US_West
j_091288,58746.6,4.7,Korea,5,1.2,1.32,night,1.0,France
j_127768,58833.3,3548.1,Japan,1,83123.0,1.34,night,1.0,US_East
j_091280,59244.1,3608.1,Korea,1,54178.7,1.46,night,1.0,France
j_036544,59601.5,2.3,US_East,5,4.2,11.56,day,1.0,France
j_018297,59691.7,3134.1,US_Central,1,60982.7,10.58,day,1.0,US_West
j_091282,59724.0,6901.7,Korea,1,73642.0,1.59,night,1.0,US_East
j_000049,59755.9,133.2,US_West,4,20.8,8.6,day,1.0,France
j_036521,59820.0,5867.7,US_East,2,8513.0,11.62,day,1.0,France
j_091262,59838.9,5053.4,Korea,1,69456.8,1.62,night,1.0,US_West
j_091278,60069.7,10677.8,Korea,1,61827.4,1.69,night,1.0,US_West
j_109520,60092.0,37.6,India,4,33.5,22.19,night,1.0,US_West
j_036516,60139.5,51.8,US_East,4,19.7,11.71,day,1.0,US_West
j_091299,60424.6,453.6,Korea,1,44187.5,1.78,night,1.0,France
j_054750,60435.5,8.6,France,5,2.3,17.79,day,1.0,France
j_127778,61125.3,1195.9,Japan,1,80838.7,1.98,night,1.0,US_East
j_036519,61622.3,474.3,US_East,3,175.5,12.12,day,1.0,France
j_018285,61664.4,24.9,US_Central,4,24.8,11.13,day,1.0,Germany
j_000035,61798.3,5.5,US_West,5,3.3,9.17,day,1.0,US_East
j_000014,61822.6,2.5,US_West,5,1.1,9.17,day,1.0,France
j_073012,61843.7,9.6,Germany,5,1.1,18.18,day,1.0,France
j_127770,61972.8,3.9,Japan,5,4.3,2.21,night,1.0,Germany
j_018275,62213.6,4.1,US_Central,4,25.0,11.28,day,1.0,US_West
j_073022,62321.4,15.6,Germany,3,316.8,18.31,day,1.0,US_East
j_036524,62491.8,6.4,US_East,5,5.0,12.36,day,1.0,US_East
j_036538,62635.6,17.2,US_East,4,59.9,12.4,day,1.0,France
j_018263,62813.5,7.0,US_Central,5,2.5,11.45,day,1.0,France
j_091281,63176.8,6506.7,Korea,2,12225.5,2.55,night,1.0,Germany
j_036512,63231.4,35.0,US_East,4,34.7,12.56,day,1.0,US_West
j_054794,63237.3,10826.8,France,2,19504.9,18.57,day,1.0,US_East
j_127762,63284.3,6.3,Japan,5,3.4,2.58,night,1.0,Germany
j_036518,63381.8,9.2,US_East,5,2.2,12.61,day,1.0,Germany
j_073029,63430.9,1370.1,Germany,1,52513.6,18.62,day,1.0,US_West
j_000039,63643.9,2.9,US_West,5,3.5,9.68,day,1.0,US_East
j_000030,63658.8,2126.1,US_West,1,46576.7,9.68,day,1.0,US_East
j_018284,63698.3,2.3,US_Central,5,1.4,11.69,day,1.0,US_West
j_127758,63839.6,8.9,Japan,5,1.2,2.73,night,1.0,Germany
j_000045,63888.6,193.5,US_West,3,235.6,9.75,day,1.0,France
j_127773,63998.3,3391.5,Japan,1,69040.2,2.78,night,1.0,US_East
j_000048,64125.9,3.6,US_West,5,1.8,9.81,day,1.0,US_West
j_018254,64186.5,3798.5,US_Central,1,79059.0,11.83,day,1.0,US_East
j_018260,64255.5,17.8,US_Central,5,3.1,11.85,day,1.0,France
j_018279,64275.8,4.0,US_Central,5,1.1,11.85,day,1.0,Germany
j_018261,64351.4,36.0,US_Central,4,27.1,11.88,day,1.0,US_East
j_018289,64501.8,11316.2,US_Central,1,44857.0,11.92,day,1.0,France
j_000024,64546.2,207.8,US_West,3,128.3,9.93,day,1.0,Germany
j_127757,64616.7,9692.0,Japan,1,43842.7,2.95,night,1.0,Germany
j_127777,64908.3,1857.8,Japan,1,77614.8,3.03,night,1.0,US_East
j_018264,65129.5,12882.0,US_Central,1,54105.0,12.09,day,1.0,US_West
j_000003,65244.1,8.5,US_West,5,2.8,10.12,day,1.0,France
j_127772,65408.7,286.9,Japan,2,26262.1,3.17,night,1.0,France
j_018293,65901.7,3473.2,US_Central,2,11842.3,12.31,day,1.0,US_East
j_091251,66055.0,2704.3,Korea,1,56526.3,3.35,night,1.0,US_West
j_000007,66526.3,3.0,US_West,5,2.9,10.48,day,1.0,France
j_018277,66551.1,43.7,US_Central,4,29.4,12.49,day,1.0,France
j_127767,66623.3,3347.1,Japan,1,48205.9,3.51,night,1.0,US_East
j_091270,66978.6,2036.9,Korea,1,84297.0,3.61,night,1.0,US_West
j_127784,67273.4,7.3,Japan,5,1.0,3.69,night,1.0,US_West
j_054761,67489.0,8.1,France,4,16.0,19.75,day,1.0,France
j_127759,67602.5,3216.8,Japan,1,50438.8,3.78,night,1.0,France
j_018270,67639.1,202.6,US_Central,3,185.1,12.79,day,1.0,US_West
j_018288,67792.4,3.8,US_Central,5,2.8,12.83,day,1.0,France
j_018267,67801.8,3.0,US_Central,5,2.5,12.83,day,1.0,France
j_036534,67863.8,5.1,US_East,5,2.9,13.85,day,1.0,US_West
j_091298,67914.4,2331.2,Korea,1,53890.5,3.87,night,1.0,US_West
j_018257,68268.3,30.7,US_Central,4,23.4,12.96,day,1.0,France
j_036533,68418.7,3.2,US_East,5,2.5,14.01,day,1.0,France
j_091259,68610.4,3967.8,Korea,1,66434.2,4.06,night,1.0,France
j_109529,68697.3,1061.6,India,2,9402.9,0.58,night,1.0,France
j_018258,68973.3,231.4,US_Central,3,291.5,13.16,day,1.0,France
j_054792,69237.3,24.8,France,4,25.0,20.23,night,1.0,France
j_000044,69974.5,962.2,US_West,2,7452.5,11.44,day,1.0,France
j_127782,70385.6,5877.3,Japan,1,69264.1,4.55,night,1.0,France
j_073038,70672.7,4.0,Germany,5,3.5,20.63,night,1.0,France
j_018251,70982.9,259.5,US_Central,3,291.2,13.72,day,1.0,France
j_000029,71114.1,3.5,US_West,5,1.0,11.75,day,1.0,US_West
j_054770,71199.6,440.4,France,3,345.2,20.78,night,1.0,US_West
j_109518,71500.1,709.4,India,2,14937.9,1.36,night,1.0,US_West
j_000006,71675.7,2596.1,US_West,1,59818.3,11.91,day,1.0,France
j_109517,72030.1,11775.4,India,1,84193.9,1.51,night,1.0,US_West
j_018287,72121.6,571.2,US_Central,3,138.5,14.03,day,1.0,France
j_109526,72258.2,4668.8,India,1,51065.9,1.57,night,1.0,US_East
j_109507,72486.3,6710.2,India,2,12336.2,1.64,night,1.0,US_West
j_127789,72766.4,2406.9,Japan,1,69334.9,5.21,night,1.0,US_East
j_109501,72939.8,3788.4,India,1,43652.9,1.76,night,1.0,US_West
j_018280,73069.4,20.7,US_Central,4,48.4,14.3,day,1.0,France
j_036535,73471.4,6051.3,US_East,1,73324.4,15.41,day,1.0,US_East
j_018274,73517.0,11.1,US_Central,5,1.1,14.42,day,1.0,US_West
j_109519,73599.9,29.6,India,4,28.3,1.94,night,1.0,US_East
j_091254,73879.3,4738.0,Korea,1,55237.5,5.52,night,1.0,US_West
j_018291,74198.9,39.2,US_Central,4,24.7,14.61,day,1.0,France
j_036530,74220.4,43.4,US_East,4,27.7,15.62,day,1.0,US_East
j_127761,74258.4,1007.6,Japan,1,64826.1,5.63,night,1.0,France
j_054787,74277.1,9310.3,France,1,44973.4,21.63,night,1.0,US_West
j_091289,74291.2,21600.0,Korea,1,78773.7,5.64,night,1.0,US_East
j_036543,74440.4,170.3,US_East,3,301.1,15.68,day,1.0,France
j_073039,74501.6,75.9,Germany,4,46.0,21.69,night,1.0,France
j_127794,74667.2,3.6,Japan,5,4.7,5.74,night,1.0,US_West
j_036508,74724.8,24.1,US_East,4,27.3,15.76,day,1.0,France
j_054782,74871.6,4.6,France,5,1.7,21.8,night,1.0,US_East
j_000041,75073.8,3.0,US_West,5,2.5,12.85,day,1.0,US_East
j_000034,75159.8,3.4,US_West,5,1.3,12.88,day,1.0,US_West
j_018265,75470.6,3941.5,US_Central,1,64112.1,14.96,day,1.0,France
j_109524,75575.8,25.8,India,4,35.6,2.49,night,1.0,US_West
j_127756,75699.1,12.3,Japan,5,2.4,6.03,night,1.0,France
j_127793,75754.9,5.0,Japan,4,28.7,6.04,night,1.0,France
j_091296,75847.5,3.6,Korea,5,1.4,6.07,night,1.0,France
j_073027,76156.8,4.6,Germany,5,1.6,22.15,night,1.0,France
j_073028,76366.1,116.7,Germany,4,25.7,22.21,night,1.0,France
j_127774,77391.7,13253.5,Japan,1,45094.2,6.5,night,1.0,France
j_036507,77400.6,5.6,US_East,5,1.2,16.5,day,1.0,France
j_054757,77471.3,5614.2,France,1,74057.2,22.52,night,1.0,US_West
j_054775,77555.1,45.6,France,4,28.7,22.54,night,1.0,France
j_091287,78149.8,2.5,Korea,5,3.0,6.71,night,1.0,US_West
j_054762,78189.0,1589.3,France,1,67370.9,22.72,night,1.0,US_West
